Artist,Collective/Individual,First Nations People Group (from Know My Name only),Place of Birth (First Nations Language),Place of Birth (Anglophone),State of Birth,Country of Birth,Place of Birth Latitude,Place of Birth Longitude,Year of Birth,Date of Birth,Place of Death (Indigenous),Place of Death (Anglophone),State of Death,Country of Death,Place of Death Latitude,Place of Death Longitude,Year of Death,Date of Death,Link to DAAO,"In DAAO 2,188",Link to AWR,Author of NGA Essay,Page of Book,Anne Marsh Critic Author Full Citations,Anne Marsh Critic Authors,Anne Marsh Discussions,Illustration Included?,Link to NLA,Multiple NLA,Missing NLA,related_events,related_organizations,related_people,related_places,related_recognitions,related_resources,related_works,related_total_count
"Blumann, Elise",Individual,,,Parchim,Mecklenberg-Verpommern,Germany,53.4258455,11.8475244,1897,16/01/1897,Wadjakboodjar,Nedlands,WA,Australia,-31.9799209,115.8057167,1990,1990-01-29 00:00:00,https://www.daao.org.au/bio/elise-margo-blumann,N,https://www.womenaustralia.info/biogs/PR00702b.htm,Simeran Maxwell,48.0,,,,,"https://trove.nla.gov.au/people/1463745
https://trove.nla.gov.au/people/1527325",Y,N,16.0,0.0,0.0,4.0,0.0,6.0,0.0,26.0
"Cummings, Elisabeth",Individual,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1934,1934-06-03 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/elizabeth-cummings,Y,,Sioux Garside,94.0,,,,,https://trove.nla.gov.au/people/1486604,N,N,10.0,0.0,1.0,7.0,1.0,2.0,2.0,23.0
"Gower, Elizabeth",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1952,1952-10-28 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/elizabeth-gower,N,,Anja Loughhead,162.0,"(1) Janine Burke, 'Art for the end of the world', Meanjin 40, 3 (October 1981): 375-82 [409-11]",(1) Janine Burke,"9, 18, 31, 31i, 32, 32i, 49, 99i, 409",Y,https://trove.nla.gov.au/people/461156,N,N,13.0,0.0,0.0,0.0,0.0,4.0,0.0,17.0
"Kame Kngwarreye, Emily",Individual,Anmatyrre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1910,,Mparntwe,Alice Springs,NT,Australia,-23.6983884,133.8812885,1996,1996-08-03 00:00:00,https://www.daao.org.au/bio/emily-kame-kngwarreye,Y,"http://www.womenaustralia.info/leaders/biogs/WLE0669b.htm
https://www.womenaustralia.info/biogs/AWE5171b.htm",Kelli Cole,214.0,,,"204, 204i",Y,https://trove.nla.gov.au/people/477780,N,N,27.0,0.0,9.0,2.0,1.0,7.0,11.0,57.0
"McGilchrist, Erica",Individual,,Berrin,Mt Gambier,SA,Australia,-37.8301386,140.7842627,1926,1926-02-10 00:00:00,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2014,2014-05-09 00:00:00,https://www.daao.org.au/bio/erica-mcgilchrist,Y,,Linda Short,232.0,,,,,https://trove.nla.gov.au/people/1475069,N,N,10.0,0.0,2.0,6.0,5.0,9.0,3.0,35.0
"Timbery, Esme",Individual,Bidjigal People,Djembla,Port Kembla,NSW,Australia,-34.4703383,150.8953674,1931,1931-02-14 00:00:00,,,NSW,Australia,,,2023,2023-10-06 00:00:00,https://www.daao.org.au/bio/esme-timbery,Y,,Genevieve O'Callaghan,348.0,"(1) Maria Nugent, 'Shellwork on show: Colonial history, Australian aboriginal women and the display of decorative objects', Journal of Material Culture 19, 1 (2014): 75-92 (extract) [451-52]",(1) Maria Nugent,"77, 71i, 452",Y,https://trove.nla.gov.au/people/1483861,N,N,6.0,0.0,7.0,3.0,1.0,5.0,4.0,26.0
"Carrick, Ethel",Individual,,,Uxbridge,England,United Kingdom,51.5449509,-0.4816672,1872,7/02/1872,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1952,1952-06-17 00:00:00,https://www.daao.org.au/bio/ethel-carrick-fox,N,,Emma Kindred,72.0,,,,,https://trove.nla.gov.au/people/472823,N,N,14.0,0.0,7.0,19.0,2.0,8.0,3.0,53.0
"Spowers, Ethel",Individual,,Boonwurrung Land,South Yarra,VIC,Australia,-37.8377695,144.9918537,1890,11/7/1890,Naarm,East Melbourne,VIC,Australia,-37.812498,144.9858851,1947,1947-05-05 00:00:00,https://www.daao.org.au/bio/ethel-louise-spowers,[Born pre-1900] Y,,Cathy Leahy,332.0,,,,,https://trove.nla.gov.au/people/1468609,N,N,13.0,0.0,15.0,9.0,0.0,12.0,4.0,53.0
"Bell, Eugenie Keefer",Individual,,,,,USA,39.7837304,-100.445882,1951,1951-05-02 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/eugenie-keefer-bell/biography,Y,,,,,,,,https://trove.nla.gov.au/people/784208,N,N,,,,,,,,
"Pachucka, Ewa",Individual,,,Lublin,Lublin,Poland,51.250559,22.5701022,1936,1936-02-17 00:00:00,,Auvergne-Rhone-Alpes,,France,45.283941,4.583177,2020,2020-07-28 00:00:00,https://www.daao.org.au/bio/ewa-pachuka,Y,,Susan Best,292.0,,,,,https://trove.nla.gov.au/people/926417,N,N,8.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0
"de Medici, eX",Individual,,Coolamon,Coolamon,NSW,Australia,-34.8163798,147.2009759,1959,1959-04-12 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/ex-de-medici,N,,Yvette dal Pozzo,102.0,,,274,N,"https://trove.nla.gov.au/people/528767
https://trove.nla.gov.au/people/1773613",Y,N,4.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
"Foley, Fiona",Individual,Badtjala People,Badtjala Land,Maryborough,QLD,Australia,-25.537583,152.7019182,1964,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-foley,Y,,Marina Tyquiengco,130.0,"(1) Hetti Perkins, 'Introduction', in Aboriginal Women's Exhibition, exhibition catalogue, AGNSW, 1991, 7-13 [452-57]
(2) Brenda L. Croft, 'A very brief bit of an overview of the Aboriginal arts/cultural industry by a sort of renegade, or The cultural correctness of certain issues', Art Monthly Australia 56, Summer Supplement: Aboriginal Art in the Public Eye (1992-93), 20-22 [482-85]
(3) Catriona Moore, 'Visual arts and crafts', in Barbara Caine (ed.), Australian Feminism: A Companion (Melbourne: Oxford University Press, 1998), 344-55 [494-98]","(1) Hetti Perkins
(2) Brenda L. Croft
(3) Catriona Moore","139, 190, 245, 253, 253i, 254, 254i, 255, 254i, 457, 484, 498",Y,"https://trove.nla.gov.au/people/509846
https://trove.nla.gov.au/people/1567205
https://trove.nla.gov.au/people/1547218",Y,N,17.0,0.0,17.0,8.0,10.0,10.0,11.0,73.0
"Hall, Fiona",Individual,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231427,1953,1953-11-16 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-hall,Y,,Julie Ewington,172.0,,,"220, 220i, 263, 263i, 264i",Y,https://trove.nla.gov.au/people/603727,N,N,42.0,0.0,6.0,8.0,6.0,10.0,12.0,84.0
"Lowry, Fiona",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1974,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/fiona-lowry,N,,Geraldine Barlow,230.0,,,,,https://trove.nla.gov.au/people/1540167,N,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Broadhurst, Florence",Individual,,Gureng Gureng Land,Mt Perry,QLD,Australia,-25.1859565,151.664757379505,1899,28/07/1899,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,1977,1977-10-15 00:00:00,https://www.daao.org.au/bio/florence-broadhurst,N,,Anne-Marie van de Ven,60.0,,,,,https://trove.nla.gov.au/people/1444393,N,N,1.0,0.0,4.0,7.0,0.0,2.0,1.0,15.0
"(Budden) Phoenix, Frances",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1950,,Tarntanya,Adelaide,SA,Australia,-34.9261502,138.6006231426997,2017,2017-07-01 00:00:00,https://www.daao.org.au/bio/frances-budden,Y,,Alison Alder,62.0,"(1) Therese Kenyon, 'Women artists and activists in the Tin Sheds', in Therese Kenyon, Under a Hot Tin Roof: Art, Passion and Politics at the Tin Sheds Art Workshop (University of Sydney: Power Publications, 1995), 62-75 [384-87]
(2) Isabel Davies, 'The Coming Out Show discusses the Dinner Party', Lip, 1980, 48-50 [414-15]","(1) Therese Kenyon
(2) Isabel Davies","37, 38, 45i, 49, 50, 107i, 385, 386, 387, 414, 415",Y,https://trove.nla.gov.au/people/1483304,N,N,12.0,0.0,1.0,0.0,0.0,1.0,1.0,15.0
"Robertshaw, Freda",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1916,1916-11-16 00:00:00,Gulumada,Blue Mountains,NSW,Australia,-33.63511425,150.43750366422518,1997,1997-05-10 00:00:00,https://www.daao.org.au/bio/freda-rhoda-robertshaw,Y,,Sally Quin,314.0,,,,,https://trove.nla.gov.au/people/1485450,N,N,11.0,0.0,9.0,7.0,1.0,5.0,2.0,35.0
"Smith, Gemma",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1978,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/gemma-smith,N,,Julie Ewington,330.0,,,,,https://trove.nla.gov.au/people/1501201,N,N,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
"Cossington Smith, Grace",Individual,,Gadigal Land,Neutral Bay,NSW,Australia,-33.8342887,151.2182049,1892,20/04/1892,Gadigal Land,Roseville,NSW,Australia,-33.784545,151.1778441,1984,1984-12-24 00:00:00,https://www.daao.org.au/bio/grace-cossington-smith,N,,Deborah Hart,82.0,,,,,https://trove.nla.gov.au/people/530490,N,N,30.0,0.0,18.0,12.0,2.0,20.0,12.0,94.0
"Crowley, Grace",Individual,,Barrabar/Cobbadah,"Barrabar
/Cobbadah",WA/NSW,Australia,-33.773074,151.278743,1890,28/05/1890,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,1979,1979-04-21 00:00:00,https://www.daao.org.au/bio/grace-crowley,[Born pre-1900] N,,Elena Taylor,88.0,,,,,https://trove.nla.gov.au/people/558304,N,N,16.0,0.0,23.0,10.0,0.0,9.0,4.0,62.0
"Walker, Lyndal",Individual,,,,,,,,1973,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/biography/hotham-street-ladies,[Group] Y,,,,,,"233i, 287",Y,https://trove.nla.gov.au/people/522964,N,N,,,,,,,,
Romance Was Born (Collective),Collective,,,,,,,,2005,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/biography/romance-was-born,[Group] N,,Jaklyn Babington,316.0,,,,,https://trove.nla.gov.au/people/1525392,N,N,,,,,,,,
Boomalli Aboriginal Artists' Co-operative,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1987,1987-11-25 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/boomalli-aboriginal-artist-cooperative-1,N,,Bronwyn Bancroft,50.0,"(1) Brenda L. Croft, 'A very brief bit of an overview of the Aboriginal arts/cultural industry by a sort of renegade, or The cultural correctness of certain issues', Art Monthly Australia 56, Summer Supplement: Aboriginal Art in the Public Eye (1992-93), 20-22 [482-85]",(1) Brenda L. Croft,"139, 482-83",N,"https://trove.nla.gov.au/people/1774713
https://trove.nla.gov.au/people/597930
https://trove.nla.gov.au/people/1528483",Y,N,,,,,,,,
"Cleveland, Barbara",Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,2007,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/brown-council,N,,Bree Richards,78.0,,,,,https://trove.nla.gov.au/people/1879472,N,N,,,,,,,,
The Hampson Family,Collective,,Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1901,,Lukrakuyila,"Fernbank Farm, Westbury",TAS,Australia,-19.302825,146.816104,1903,,https://www.daao.org.au/bio/group/jane-and-mary-hampson-1,[Group] Y,,,,,,,,"https://trove.nla.gov.au/people/1774110
https://trove.nla.gov.au/people/1489692",Y,N,,,,,,,,
Jillposters,Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1983,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1988,,https://www.daao.org.au/bio/group/jillposters,[Group] N,,,,,,,,https://trove.nla.gov.au/people/1774277,N,N,,,,,,,,
"Brady, Freda",Individual,,Pitjantjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1961,1961-06-27 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,N,,,,,,,,https://trove.nla.gov.au/people/1869108,N,N,,,,,,,,
"Ken Family Collaborative,",Collective,,Amata ,Amata ,SA,Australia,-26.1517767,131.1469813,,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,[Group] N,,Lisa Slade,208.0,,,249,N,https://trove.nla.gov.au/people/1879480,N,N,,,,,,,,
"Ken, Sandra",Individual,,Aṉangu Pitjantjatjara Yankunytjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1968,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,[Group] N,,,,,,,,,N,Y,,,,,,,,
"Ken, Tjungkara",Individual,,Aṉangu Pitjantjatjara Yankunytjatjara Land,Amata ,SA,Australia,-26.1517767,131.1469813,1969,1969-10-01 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,[Group] N,,,,,,,,https://trove.nla.gov.au/people/1865715,N,N,,,,,,,,
"Tunkin, Maringka",Individual,Pitjantjatjara People,Amata ,Amata ,NT,Australia,-26.151528,131.147283258417,1959,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,[Group] N,,,,,,,,https://trove.nla.gov.au/people/1869107,N,N,,,,,,,,
"Young, Tingila Yaritji",Individual,Pinjantjatjara People,Pujatka,Ernabella,NT,Australia,-19.488357,133.438712,1956,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/ken-family-collaborative,[Group] N,,,,,,,,,N,Y,,,,,,,,
Tjanpi Desert Weavers,Collective,,Tjanpi Desert,Tjanpi Desert,NT,Australia,-23.700671,133.870816,1995,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/tjanpi-desert-weavers,[Group] Y,,Kelli Cole,416.0,"(1) Vivien Johnson, 'Songlines: Tracking the Seven Sisters', Artlink 38, 1 (March 2018): 75-7 [513-15]","(1) Vivien Johnson
","244, 245, 248-49, 294i, 250, 263, 514",Y,https://trove.nla.gov.au/people/1502573,N,N,,,,,,,,
Women's Domestic Needlework Group,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1976,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/group/womens-domestic-needlework-group,[Group] N,,,,,,,,https://trove.nla.gov.au/people/1537923,N,N,,,,,,,,
GW Bot,Individual,,,Quetta,Balochistan,Pakistan,30.1957677,67.0172447,1954,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/gw-bot,N,,Yvette dal Pozzo,170.0,,,,,https://trove.nla.gov.au/people/1524810,N,N,1.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0
"Hanssen Pigott, Gwyn",Individual,,Ballaarat,Ballarat,VIC,Australia,-37.5623013,143.8605645,1935,1935-01-01 00:00:00,,London,England,United Kingdom,51.5074456,-0.1277653,2013,2013-07-06 00:00:00,https://www.daao.org.au/bio/gwyn-hanssen-pigott,Y,,Sarina Noordhuis-Fairfax,178.0,,,,,https://trove.nla.gov.au/people/550054,N,N,241.0,0.0,3.0,23.0,0.0,10.0,5.0,282.0
"Eager, Helen",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1952,1952-09-27 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-eager-1,N,,,,,,,,https://trove.nla.gov.au/people/1520502,N,N,13.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0
"Johnson, Helen",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1979,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-johnson,N,,Claire G. Coleman,198.0,,,,,"https://trove.nla.gov.au/people/1687039
https://trove.nla.gov.au/people/1687285
https://trove.nla.gov.au/people/577153
https://trove.nla.gov.au/people/1686967",Y,N,,,,,,,,
"Maudsley, Helen",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1927,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/helen-maudsley-1,N,,Pip Wallis,254.0,,,,,https://trove.nla.gov.au/people/1804990,N,N,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Boyd, Hermia",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1931,1931-08-10 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2000,2000-01-25 00:00:00,https://www.daao.org.au/bio/hermia-boyd-1,N,,,,,,,,https://trove.nla.gov.au/people/569645,N,N,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
"Mais, Hilarie",Individual,,,Leeds,England,United Kingdom,53.7974185,-1.5437941,1952,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/hilarie-mais,Y,,Manya Sellers,246.0,,,,,https://trove.nla.gov.au/people/1486671,N,N,53.0,0.0,1.0,7.0,9.0,1.0,17.0,88.0
"Rix Nicholas, Hilda",Individual,,Ballaarat,Ballarat,VIC,Australia,-37.5623013,143.8605645,1884,1/09/1884,Deligat,Delegate,NSW,Australia,-37.043448,148.9395784,1961,1961-08-03 00:00:00,https://www.daao.org.au/bio/hilda-rix-nicholas,[Born pre-1900] Y,https://www.womenaustralia.info/biogs/AWE6340b.htm,Anne Gray,312.0,,,,,"https://trove.nla.gov.au/people/515366
https://trove.nla.gov.au/people/1464414",N,N,21.0,0.0,2.0,14.0,0.0,15.0,1.0,53.0
"King, Inge",Individual,,,Berlin,Berlin,Germany,52.5170365,13.3888599,1915 or 1918,1918-11-25 00:00:00,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,2016,2016-04-23 00:00:00,https://www.daao.org.au/bio/inge-king,Y,,Jane Eckett,212.0,,,,,https://trove.nla.gov.au/people/633148,N,N,20.0,0.0,2.0,11.0,3.0,7.0,4.0,47.0
"Davies, Isabel",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1929,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/isabel-davies,N,,,,"(1) Jeanette Kavanagh (Fenelon), 'Currents in criticism', Lip (1981/82): 47-52 [380-84]
(2) Isabel Davies, 'The Coming Out Show discusses the Dinner Party', Lip, 1980, 48-50 [414-15]","(1) Jeanette Kavanagh
(2) Isabel Davies","38, 44i, 45, 49, 50, 50i, 99i, 383, 414-16",Y,https://trove.nla.gov.au/people/575938,N,N,4.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
"Redgate, Jacky",Individual,,,Hammersmith,England,United Kingdom,51.4920377,-0.2236401,1955,1955-04-24 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jacky-redgate,Y,,Helen Ennis,308.0,,,"53, 71, 71i",Y,https://trove.nla.gov.au/people/480461,N,N,62.0,0.0,3.0,11.0,13.0,1.0,16.0,106.0
"MacKay, Jan",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1950,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jan-mackay-3,Y,,,,,,,,https://trove.nla.gov.au/people/1519834,N,N,3.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0
"Nelson, Jan",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,1955-01-15 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jan-nelson,N,,,,,,,,"https://trove.nla.gov.au/people/1624858
https://trove.nla.gov.au/people/1032775",N,N,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
"Burchill, Janet & McCamley, Jennifer (Burchill)",Collective,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1955,1955-12-12 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/janet-burchill,N,,,,,,,,https://trove.nla.gov.au/people/1519280,N,N,,,,,,,,
"Burchill, Janet & McCamley, Jennifer (McCamley)",Collective,,Meanjin,Brisbane,QLD,Australia,-27.4689682,153.0234991,1983,,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),"https://www.daao.org.au/bio/janet-burchill/
https://www.daao.org.au/bio/jennifer-mccamley",N,,Victoria Perin,64.0,,,,,"https://trove.nla.gov.au/people/1516427
https://trove.nla.gov.au/people/1516292
",Y,N,,,,,,,,
"Cumbrae Stewart, Janet",Individual,,Naarm/Boonwurrung Land,Melbourne/Brighton,VIC,Australia,-37.9081962,144.9957991,1883,23/12/1883,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1960,1960-09-08 00:00:00,https://www.daao.org.au/bio/janet-cumbrae-stewart/biography,[Born pre-1900] Y,,Juliette Peers,92.0,,,,,https://trove.nla.gov.au/people/570349,N,N,,,,,,,,
"Dawson, Janet",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1935,1935-01-10 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/janet-dawson,Y,,Angela Goddard,100.0,"(1) Lara Nicholls (curator), Abstraction: Celebrating Australian Women Abstract Artsists, exhibition brochure, National Gallery of Australia, touring exhibition 2017-18 [395-97]",(1) Lara Nicholls,"18, 24, 24i, 396",Y,"https://trove.nla.gov.au/people/616160
https://trove.nla.gov.au/people/1029126",Y,N,19.0,0.0,5.0,5.0,2.0,9.0,4.0,44.0
"Laurence, Janet",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1947,1947-03-04 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/janet-laurence,Y,,Rachel Kent,226.0,,,,,https://trove.nla.gov.au/people/548562,N,N,27.0,0.0,2.0,3.0,10.0,1.0,40.0,83.0
"Eaton, Janenne",Individual,,Naarm,Melbourne,VIC,Australia,-37.8141705,144.9655616,1950,1950-06-16 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jannene-eaton,N,,,,,,,,,N,Y,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
"Apuatimi, Jean Baptiste (Pulukatu)",Individual,,Malawu,Bathurst Island,NT,Australia,-11.57730195,130.417739671509,1940,1940-06-24 00:00:00,Wurrumiyanga,Wurrumiyanga,NT,Australia,-11.7625858,130.6321091,2013,2013-02-18 00:00:00,https://www.daao.org.au/bio/jean-baptiste-apuatimi,Y,,Margie West,32.0,,,,,https://trove.nla.gov.au/people/1517433,N,N,1.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0
"Broome-Norton, Jean",Individual,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1911,1911-12-31 00:00:00,,,,,,,2002,2002-02-06 00:00:00,https://www.daao.org.au/bio/jean-broome-norton,Y,,,,,,,,https://trove.nla.gov.au/people/1487098,N,N,4.0,0.0,8.0,4.0,0.0,8.0,3.0,27.0
"Pwerle, Jeanie",Individual,Alyawarre/Anmatyerre People,,"Utopia Station, Alhalkere",NT,Australia,-22.23333,134.55,1965,1965-05-15 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jeanie-pwerle,N,,,,,,,,https://trove.nla.gov.au/people/1879679,N,N,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
"Christmann, Jenny",Individual,,,Dusseldorf,North Rhine-Westphalia,Germany,51.2254018,6.7763137,1928,1928-11-04 00:00:00,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,2005,2005-07-06 00:00:00,https://www.daao.org.au/bio/jenny-christmann,N,,,,,,,,https://trove.nla.gov.au/people/1540148,N,N,2.0,0.0,3.0,3.0,0.0,0.0,3.0,11.0
Flamingo Park,Collective,,Gadigal Land,Sydney,NSW,Australia,-33.8679526,151.210134824045,1973,,Gadigal Land,Sydney,NSW,Australia,-33.8679525999999,151.2101348240446,1992,,https://www.daao.org.au/bio/jenny-kee-2,Y,,,,,,,,,N,Y,5.0,0.0,19.0,4.0,0.0,72.0,72.0,172.0
"Kee, Jenny",Individual,,Gadigal Land,Bondi,NSW,Australia,-33.8930556,151.2633333,1947,1947-01-24 00:00:00,N/A (Still Living),N/A (Still Living),N/A (Still Living),N/A (Still Living),,,N/A (Still Living),N/A (Still Living),https://www.daao.org.au/bio/jenny-kee-2,Y,,Rebecca Evans,206.0,,,,,https://trove.nla.gov.au/people/485013,N,N,5.0,0.0,19.0,4.0,0.0,72.0,72.0,172.0
